url,address,year_built,condition,wear_percent,lat,lon
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1187871,"1-й Депутатский пер., 13 корпус 1, Астрахань, Астраханская область",1988,Исправный,24.8,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1154885,"1-й Депутатский пер., 15 корпус 1, Астрахань, Астраханская область",1982,Исправный,60,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1044458,"пр-д. 1-й Нефтяников, 15, Астрахань, Астраханская область",1941,Аварийный,,46.4055403,48.0731008
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1042536,"пр-д. 1-й Нефтяников, 23, Астрахань, Астраханская область",1917,Аварийный,,46.4055403,48.0731008
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1305381,"пр-д. 1-й Нефтяников, 25, Астрахань, Астраханская область",1917,Исправный,,46.4055403,48.0731008
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1042537,"пр-д. 1-й Нефтяников, 27, Астрахань, Астраханская область",1917,Исправный,,46.4055403,48.0731008
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1288940,"пр-д. 1-й Нефтяников, 29, Астрахань, Астраханская область",1917,Аварийный,,46.4055403,48.0731008
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1252319,"пр-д. 1-й Нефтяников, 33, Астрахань, Астраханская область",1942,Аварийный,,46.4055403,48.0731008
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1042540,"пр-д. 1-й Нефтяников, 37, Астрахань, Астраханская область",1970,Исправный,,46.4055403,48.0731008
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1312292,"пр-д. 1-й Нефтяников, 39а, Астрахань, Астраханская область",,Исправный,,46.4055403,48.0731008
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1277915,"1-й Таманский пер., 2, Астрахань, Астраханская область",1961,Исправный,,46.3301559,48.024114
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1285860,"1-й Таманский пер., 3, Астрахань, Астраханская область",1961,Исправный,,46.3301475,48.0244872
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1218756,"1-й Таманский пер., 4, Астрахань, Астраханская область",1961,Исправный,,46.3296371,48.0241715
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1282007,"1-й Таманский пер., 5, Астрахань, Астраханская область",1961,Исправный,,46.3298641,48.0245213
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1291037,"1-й Таманский пер., 6, Астрахань, Астраханская область",1960,Исправный,,46.3292912,48.0242181
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1296534,"1-й Таманский пер., 7, Астрахань, Астраханская область",1961,Исправный,0,46.3295811,48.0245575
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/822880,"1-й Таманский пер., 8, Астрахань, Астраханская область",1960,Исправный,,46.3289642,48.0242418
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1243178,"1-й Таманский пер., 9, Астрахань, Астраханская область",1954,Аварийный,,46.3292971,48.0245932
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1281311,"1-й Таманский пер., 11, Астрахань, Астраханская область",1955,Исправный,,46.3289564,48.0246365
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1395817,"1-й Таманский пер., 25, Астрахань, Астраханская область",2024,Исправный,0,46.325314,48.0255907
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1301118,"1-й Таманский пер., 27, Астрахань, Астраханская область",2021,Исправный,,46.3246098,48.0253254
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1362572,"ул. 1-я Бондарная, 3, Астрахань, Астраханская область",1961,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1375900,"ул. 1-я Воскресенская, 2, Астрахань, Астраханская область",2025,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1043330,"ул. 1-я Дорожная, 15, Астрахань, Астраханская область",1917,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/125337,"ул. 1-я Дорожная, 18, Астрахань, Астраханская область",1998,Исправный,50,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1376602,"ул. Адмирала Нахимова, 141б, Астрахань, Астраханская область",2025,Исправный,2,46.3036801,47.9901523
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1382843,"ул. Ахшарумова, 27в, Астрахань, Астраханская область",2025,Исправный,2,46.3380803,48.0338541
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1378062,"ул. Минусинская, 8г, Астрахань, Астраханская область",2025,Исправный,,46.3594495,48.0738908
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1378130,"Воробьева проезд, 5а, Астрахань, Астраханская область",2024,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1412593,"ул. Ахшарумова, 25, Астрахань, Астраханская область",2024,Исправный,0,46.3379284,48.0320125
